"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","Проверка вызова 'Логин курьера в системе' с невалидным имейлом/паролем","tests","2026-03-25","failed","2026-03-25","TestLoginCourier","test_login_courier","",""
"","85","Проверка вызова метода 'Получить заказ по номеру' с несуществующим заказом","tests","2026-03-25","failed","2026-03-25","TestGetOrderByNumber","test_get_order_by_track","",""
"","355","Проверка невозможности создания двух курьеров с одинаковыми данными","tests","2026-03-25","failed","2026-03-25","TestCreateCourier","test_create_courier","",""
"","76","Проверка успешного создания заказа","tests","2026-03-25","passed","2026-03-25","TestCreateOrder","test_create_order","",""
"","166","Проверка вызова 'Логин курьера в системе' с пустым имейлом/паролем","tests","2026-03-25","failed","2026-03-25","TestLoginCourier","test_login_courier","",""
"","56","Проверка вызова метода 'Удалить курьер' с пустым id","tests","2026-03-25","failed","2026-03-25","TestDeleteCourier","test_delete_courier","",""
"","76","Проверка неуспешный кейсов для параметра courier_id метода 'Принять заказ'","tests","2026-03-25","failed","2026-03-25","TestAcceptOrder","test_accept_order","",""
"","97","Проверка успешного вызова метода 'Принять заказ'","tests","2026-03-25","passed","2026-03-25","TestAcceptOrder","test_accept_order","",""
"","65","Проверка вызова 'Логин курьера в системе' для несуществующего пользователя","tests","2026-03-25","failed","2026-03-25","TestLoginCourier","test_login_courier","",""
"","181","Проверка успешного создания заказа","tests","2026-03-25","passed","2026-03-25","TestCreateOrder","test_create_order","",""
"","60","Проверка неуспешный кейсов для параметра id метода 'Принять заказ'","tests","2026-03-25","failed","2026-03-25","TestAcceptOrder","test_accept_order","",""
"","346","Проверка вызова метода 'Удалить курьер' для уже удаленного курьера","tests","2026-03-25","failed","2026-03-25","TestDeleteCourier","test_delete_courier","",""
"","82","Проверка успешного удаления курьера","tests","2026-03-25","passed","2026-03-25","TestDeleteCourier","test_delete_courier","",""
"","162","Проверка невозможности создания курьера если обязательные поля отсутствуют в запросе","tests","2026-03-25","failed","2026-03-25","TestCreateCourier","test_create_courier","",""
"","175","Проверка неуспешный кейсов для параметра id метода 'Принять заказ'","tests","2026-03-25","failed","2026-03-25","TestAcceptOrder","test_accept_order","",""
"","85","Проверка успешного создания курьера","tests","2026-03-25","passed","2026-03-25","TestCreateCourier","test_create_courier","",""
"","60","Проверка вызова 'Логин курьера в системе' с пустым имейлом/паролем","tests","2026-03-25","failed","2026-03-25","TestLoginCourier","test_login_courier","",""
"","59","Проверка невозможности создания курьера если обязательные поля отсутствуют в запросе","tests","2026-03-25","failed","2026-03-25","TestCreateCourier","test_create_courier","",""
"","166","Проверка неуспешный кейсов для параметра courier_id метода 'Принять заказ'","tests","2026-03-25","failed","2026-03-25","TestAcceptOrder","test_accept_order","",""
"","160","Проверка вызова метода 'Получить заказ по номеру' с пустым заказом","tests","2026-03-25","failed","2026-03-25","TestGetOrderByNumber","test_get_order_by_track","",""
"","75","Проверка успешного создания заказа","tests","2026-03-25","passed","2026-03-25","TestCreateOrder","test_create_order","",""
"","87","Проверка успешного вызова метода 'Получить заказ по номеру'","tests","2026-03-25","passed","2026-03-25","TestGetOrderByNumber","test_get_order_by_track","",""
"","165","Проверка вызова 'Логин курьера в системе' с невалидным имейлом/паролем","tests","2026-03-25","failed","2026-03-25","TestLoginCourier","test_login_courier","",""
"","67","Проверка успешного входа курьера","tests","2026-03-25","passed","2026-03-25","TestLoginCourier","test_login_courier","",""
"","10391","Проверка успешного вызова метода 'Получение списка заказов'","tests","2026-03-25","passed","2026-03-25","TestGetOrdersList","test_get_orders_list","",""
"","179","Проверка успешного создания заказа","tests","2026-03-25","passed","2026-03-25","TestCreateOrder","test_create_order","",""
